State Name,State Code,Incumbent,Incumbent Photo,Election Note,Dem Candidate,Dem Photo,Rep Candidate,Rep Photo,Combined,Cook,Inside Elections,Sabato,Daily Kos,Politico,RCP,Niskanen,270towin, 
Alabama,AL,Richard Shelby,https://upload.wikimedia.org/wikipedia/commons/c/c5/Richard_Shelby%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Alabama,AL,Doug Jones,https://upload.wikimedia.org/wikipedia/commons/0/0d/Senator_Doug_Jones_official_photo_%28cropped%29_2.jpg,,Doug Jones,https://upload.wikimedia.org/wikipedia/commons/0/0d/Senator_Doug_Jones_official_photo_%28cropped%29_2.jpg,Tommy Tuberville,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Tommy-Tuberville-Coaches-Tour-5-29-08-%28cropped%29.jpg/200px-Tommy-Tuberville-Coaches-Tour-5-29-08-%28cropped%29.jpg,leans_r,leans_r,leans_r,likely_r,likely_r,leans_r,likely_r,leans_r,safe_r,
Alaska,AK,Lisa Murkowski,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lisa_Murkowski_official_photo_%28cropped%29.jpg/232px-Lisa_Murkowski_official_photo_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Alaska,AK,Dan Sullivan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/SenSullivan.jpg/236px-SenSullivan.jpg,,Al Gross*,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Gross_Headshot_%28cropped%29.jpg/225px-Gross_Headshot_%28cropped%29.jpg,Dan Sullivan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/SenSullivan.jpg/236px-SenSullivan.jpg,likely_r,likely_r,likely_r,likely_r,likely_r,likely_r,likely_r,safe_r,likely_r,
Arizona,AZ,Krysten Sinema,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Kyrsten_Sinema_by_Gage_Skidmore_%28cropped%29.jpg/190px-Kyrsten_Sinema_by_Gage_Skidmore_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Arizona,AZ,Martha McSally,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg/190px-Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg,,Mark Kelly,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mark_Kelly_%282016%29.jpg/196px-Mark_Kelly_%282016%29.jpg,Martha McSally,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg/190px-Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg,tossup,leans_d,tossup,leans_d,leans_d,leans_d,tossup,likely_d,likely_d,
Arkansas,AR,John Boozman,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/190px-John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Arkansas,AR,Tom Cotton,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Tom_Cotton_official_Senate_photo_%28cropped%29.jpg/190px-Tom_Cotton_official_Senate_photo_%28cropped%29.jpg,The Arkansas democratic party is not running any democratic candidate in the 2020 election so you should just assume that incumbent Tom Cotton will retain this seat,none,,Tom Cotton,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Tom_Cotton_official_Senate_photo_%28cropped%29.jpg/190px-Tom_Cotton_official_Senate_photo_%28cropped%29.jpg,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,
California,CA,Kamala Harris,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kamala_Harris_official_photo_%28cropped%29.jpg/190px-Kamala_Harris_official_photo_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
California,CA,Dianne Feinstein,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Dianne_Feinstein%2C_official_Senate_photo_2_%28cropped%29.jpg/190px-Dianne_Feinstein%2C_official_Senate_photo_2_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
